inst,SA,Gurobi,HG2
1,8265263.8,8265872,8265908.2
2,8265272.8,8265894,8265948.4
3,8265254.2,8265930,8265919
4,8265262.2,8265754,8265881.8
5,8265259.8,8265702,8265968.6
6,2565512.8,2565556,2566492.8
7,2565464,2565464,2566576.8
8,2565136,2565136,2566172.8
9,2565445.2,2565440,2566670.8
10,2565333.6,2565336,2566434.4
11,5746271.2,5746964,5747265.6
12,5746146.4,5747454,5747345.4
13,5746238,5746770,5747709.2
14,5746148.6,5746996,5747419.8
15,5746223.8,5746896,5747452.2
16,33052091.4,33053952,33053301
17,33052071.4,33053990,33053250.6
18,33052063,33053378,33053323
19,33052100.2,33053724,33053199.6
20,33052085,33053698,33053330.8
21,10223505.2,10223344,10226421.6
22,10223726.4,10223456,10226644.4
23,10223927.6,10223846,10227474
24,10223746.4,10223584,10227077.6
25,10223796.8,10223666,10227038
26,22961790.4,22963962,22964562.8
27,22961886,22964348,22964854.2
28,22961859,22963656,22964427.4
29,22961773.6,22963636,22964513.6
30,22961842.6,22962836,22964830.4
31,74362382.8,74365552,74363710
32,74362428.8,74365478,74363861.2
33,74362365.2,74365182,74363765.2
34,74362425,74365816,74363777.2
35,74362372.2,74365826,74363778.4
36,22978048,22977724,22983571.2
37,22978364.4,22978168,22983768
38,22978071.6,22978022,22983540
39,22978712.4,22978358,22984006.8
40,22978146,22977852,22984399.2
41,51650514.4,51652966,51655002
42,51650571.6,51651820,51654251
43,51650605.4,51651892,51654468
44,51650571.4,51651496,51654467.6
45,51650471.6,51652334,51655007.4
46,2067773.2,2068012,2068121.2
47,2067785.4,2067938,2068097.6
48,2067769.6,2067992,2068151
49,2067763.4,2067920,2068098.6
50,2067764.6,2067994,2068075.6
51,646436,646436,646852.8
52,646820,646820,647039.2
53,646756,646756,647069.6
54,646572,646572,646990.4
55,646552,646552,646828
56,1440019.8,1440156,1440497.4
57,1440047,1440362,1440492.44444444
58,1440090,1440296,1440645.8
59,1440001.4,1440232,1440606.6
60,1439946,1440104,1440508.6
61,16533080.2,16534332,16534222.4
62,16533098.8,16534130,16534252.2
63,16533081.4,16533976,16534243
64,16533080.4,16533918,16534198.2
65,16533075,16533926,16534183.4
66,5136080.4,5135986,5137682.4
67,5136156,5136156,5137990
68,5135738.8,5135724,5137314.8
69,5136194.8,5136190,5137829.2
70,5136350.4,5136308,5137786.4
71,11497447.4,11498242,11499413
72,11497501.4,11498582,11499434.2
73,11497442.4,11498944,11499679
74,11497519.2,11498716,11499230.8
75,11497612.6,11499344,11499646
76,66109254.2,66112418,66111398.4
77,66109242.2,66112758,66111515.8
78,66109227.8,66113274,66111665.2
79,66109217.8,66113596,66111512.6
80,66109181,66113176,66111528
81,20460590,20460454,20464182.4
82,20461941.2,20461634,20466354
83,20461109.2,20460958,20466349.2
84,20460322,20460234,20465228.8
85,20459750,20459750,20465499.2
86,45934907.4,45938588,45939577
87,45934883.2,45939492,45939450.6
88,45934862.6,45938096,45939699.6
89,45934668.8,45938704,45939500.6
90,45934805.6,45938664,45939725.2
